,location,age,degree_field,count
0,United States,All,Total population 25 years and over with a Bachelor's degree or higher,"73,356,319"
1,Alabama,All,Total population 25 years and over with a Bachelor's degree or higher,"877,044"
2,Alaska,All,Total population 25 years and over with a Bachelor's degree or higher,"144,967"
3,Arizona,All,Total population 25 years and over with a Bachelor's degree or higher,"1,468,698"
4,Arkansas,All,Total population 25 years and over with a Bachelor's degree or higher,"482,695"
5,California,All,Total population 25 years and over with a Bachelor's degree or higher,"9,256,873"
6,Colorado,All,Total population 25 years and over with a Bachelor's degree or higher,"1,622,853"
7,Connecticut,All,Total population 25 years and over with a Bachelor's degree or higher,"996,000"
8,Delaware,All,Total population 25 years and over with a Bachelor's degree or higher,"222,043"
9,Florida,All,Total population 25 years and over with a Bachelor's degree or higher,"4,659,946"
10,Georgia,All,Total population 25 years and over with a Bachelor's degree or higher,"2,252,662"
11,Hawaii,All,Total population 25 years and over with a Bachelor's degree or higher,"334,489"
12,Idaho,All,Total population 25 years and over with a Bachelor's degree or higher,"328,347"
13,Illinois,All,Total population 25 years and over with a Bachelor's degree or higher,"3,085,274"
14,Indiana,All,Total population 25 years and over with a Bachelor's degree or higher,"1,212,794"
15,Iowa,All,Total population 25 years and over with a Bachelor's degree or higher,"617,115"
16,Kansas,All,Total population 25 years and over with a Bachelor's degree or higher,"648,613"
17,Kentucky,All,Total population 25 years and over with a Bachelor's degree or higher,"759,332"
18,Louisiana,All,Total population 25 years and over with a Bachelor's degree or higher,"780,547"
19,Maine,All,Total population 25 years and over with a Bachelor's degree or higher,"319,175"
20,Maryland,All,Total population 25 years and over with a Bachelor's degree or higher,"1,703,178"
21,Massachusetts,All,Total population 25 years and over with a Bachelor's degree or higher,"2,144,142"
22,Michigan,All,Total population 25 years and over with a Bachelor's degree or higher,"2,055,131"
23,Minnesota,All,Total population 25 years and over with a Bachelor's degree or higher,"1,398,575"
24,Mississippi,All,Total population 25 years and over with a Bachelor's degree or higher,"451,199"
25,Missouri,All,Total population 25 years and over with a Bachelor's degree or higher,"1,250,584"
26,Montana,All,Total population 25 years and over with a Bachelor's degree or higher,"243,496"
27,Nebraska,All,Total population 25 years and over with a Bachelor's degree or higher,"409,315"
28,Nevada,All,Total population 25 years and over with a Bachelor's degree or higher,"532,997"
29,New Hampshire,All,Total population 25 years and over with a Bachelor's degree or higher,"364,685"
30,New Jersey,All,Total population 25 years and over with a Bachelor's degree or higher,"2,513,062"
31,New Mexico,All,Total population 25 years and over with a Bachelor's degree or higher,"398,288"
32,New York,All,Total population 25 years and over with a Bachelor's degree or higher,"5,112,792"
33,North Carolina,All,Total population 25 years and over with a Bachelor's degree or higher,"2,273,890"
34,North Dakota,All,Total population 25 years and over with a Bachelor's degree or higher,"152,653"
35,Ohio,All,Total population 25 years and over with a Bachelor's degree or higher,"2,315,539"
36,Oklahoma,All,Total population 25 years and over with a Bachelor's degree or higher,"682,902"
37,Oregon,All,Total population 25 years and over with a Bachelor's degree or higher,"1,013,044"
38,Pennsylvania,All,Total population 25 years and over with a Bachelor's degree or higher,"2,906,517"
39,Rhode Island,All,Total population 25 years and over with a Bachelor's degree or higher,"259,644"
40,South Carolina,All,Total population 25 years and over with a Bachelor's degree or higher,"1,018,306"
41,South Dakota,All,Total population 25 years and over with a Bachelor's degree or higher,"169,991"
42,Tennessee,All,Total population 25 years and over with a Bachelor's degree or higher,"1,308,972"
43,Texas,All,Total population 25 years and over with a Bachelor's degree or higher,"5,662,178"
44,Utah,All,Total population 25 years and over with a Bachelor's degree or higher,"648,070"
45,Vermont,All,Total population 25 years and over with a Bachelor's degree or higher,"175,328"
46,Virginia,All,Total population 25 years and over with a Bachelor's degree or higher,"2,304,490"
47,Washington,All,Total population 25 years and over with a Bachelor's degree or higher,"1,907,238"
48,West Virginia,All,Total population 25 years and over with a Bachelor's degree or higher,"273,425"
49,Wisconsin,All,Total population 25 years and over with a Bachelor's degree or higher,"1,226,547"
50,Wyoming,All,Total population 25 years and over with a Bachelor's degree or higher,"110,699"
51,United States,25-39,Total population 25 years and over with a Bachelor's degree or higher,"24,747,281"
52,Alabama,25-39,Total population 25 years and over with a Bachelor's degree or higher,"267,645"
53,Alaska,25-39,Total population 25 years and over with a Bachelor's degree or higher,"46,955"
54,Arizona,25-39,Total population 25 years and over with a Bachelor's degree or higher,"439,297"
55,Arkansas,25-39,Total population 25 years and over with a Bachelor's degree or higher,"159,887"
56,California,25-39,Total population 25 years and over with a Bachelor's degree or higher,"3,314,906"
57,Colorado,25-39,Total population 25 years and over with a Bachelor's degree or higher,"560,862"
58,Connecticut,25-39,Total population 25 years and over with a Bachelor's degree or higher,"295,161"
59,Delaware,25-39,Total population 25 years and over with a Bachelor's degree or higher,"63,286"
60,Florida,25-39,Total population 25 years and over with a Bachelor's degree or higher,"1,308,401"
61,Georgia,25-39,Total population 25 years and over with a Bachelor's degree or higher,"746,770"
62,Hawaii,25-39,Total population 25 years and over with a Bachelor's degree or higher,"102,477"
63,Idaho,25-39,Total population 25 years and over with a Bachelor's degree or higher,"101,849"
64,Illinois,25-39,Total population 25 years and over with a Bachelor's degree or higher,"1,109,490"
65,Indiana,25-39,Total population 25 years and over with a Bachelor's degree or higher,"414,044"
66,Iowa,25-39,Total population 25 years and over with a Bachelor's degree or higher,"216,851"
67,Kansas,25-39,Total population 25 years and over with a Bachelor's degree or higher,"212,015"
68,Kentucky,25-39,Total population 25 years and over with a Bachelor's degree or higher,"253,865"
69,Louisiana,25-39,Total population 25 years and over with a Bachelor's degree or higher,"267,986"
70,Maine,25-39,Total population 25 years and over with a Bachelor's degree or higher,"87,969"
71,Maryland,25-39,Total population 25 years and over with a Bachelor's degree or higher,"543,705"
72,Massachusetts,25-39,Total population 25 years and over with a Bachelor's degree or higher,"754,381"
73,Michigan,25-39,Total population 25 years and over with a Bachelor's degree or higher,"647,909"
74,Minnesota,25-39,Total population 25 years and over with a Bachelor's degree or higher,"486,193"
75,Mississippi,25-39,Total population 25 years and over with a Bachelor's degree or higher,"136,833"
76,Missouri,25-39,Total population 25 years and over with a Bachelor's degree or higher,"424,522"
77,Montana,25-39,Total population 25 years and over with a Bachelor's degree or higher,"73,204"
78,Nebraska,25-39,Total population 25 years and over with a Bachelor's degree or higher,"149,000"
79,Nevada,25-39,Total population 25 years and over with a Bachelor's degree or higher,"166,166"
80,New Hampshire,25-39,Total population 25 years and over with a Bachelor's degree or higher,"103,224"
81,New Jersey,25-39,Total population 25 years and over with a Bachelor's degree or higher,"820,257"
82,New Mexico,25-39,Total population 25 years and over with a Bachelor's degree or higher,"108,009"
83,New York,25-39,Total population 25 years and over with a Bachelor's degree or higher,"1,903,942"
84,North Carolina,25-39,Total population 25 years and over with a Bachelor's degree or higher,"725,998"
85,North Dakota,25-39,Total population 25 years and over with a Bachelor's degree or higher,"59,914"
86,Ohio,25-39,Total population 25 years and over with a Bachelor's degree or higher,"775,822"
87,Oklahoma,25-39,Total population 25 years and over with a Bachelor's degree or higher,"216,321"
88,Oregon,25-39,Total population 25 years and over with a Bachelor's degree or higher,"329,859"
89,Pennsylvania,25-39,Total population 25 years and over with a Bachelor's degree or higher,"1,000,882"
90,Rhode Island,25-39,Total population 25 years and over with a Bachelor's degree or higher,"86,567"
91,South Carolina,25-39,Total population 25 years and over with a Bachelor's degree or higher,"308,755"
92,South Dakota,25-39,Total population 25 years and over with a Bachelor's degree or higher,"57,687"
93,Tennessee,25-39,Total population 25 years and over with a Bachelor's degree or higher,"447,182"
94,Texas,25-39,Total population 25 years and over with a Bachelor's degree or higher,"2,038,359"
95,Utah,25-39,Total population 25 years and over with a Bachelor's degree or higher,"249,649"
96,Vermont,25-39,Total population 25 years and over with a Bachelor's degree or higher,"48,804"
97,Virginia,25-39,Total population 25 years and over with a Bachelor's degree or higher,"763,220"
98,Washington,25-39,Total population 25 years and over with a Bachelor's degree or higher,"668,203"
99,West Virginia,25-39,Total population 25 years and over with a Bachelor's degree or higher,"83,629"
100,Wisconsin,25-39,Total population 25 years and over with a Bachelor's degree or higher,"405,968"
101,Wyoming,25-39,Total population 25 years and over with a Bachelor's degree or higher,"33,287"
102,United States,40-64,Total population 25 years and over with a Bachelor's degree or higher,"33,771,833"
103,Alabama,40-64,Total population 25 years and over with a Bachelor's degree or higher,"418,028"
104,Alaska,40-64,Total population 25 years and over with a Bachelor's degree or higher,"70,155"
105,Arizona,40-64,Total population 25 years and over with a Bachelor's degree or higher,"647,220"
106,Arkansas,40-64,Total population 25 years and over with a Bachelor's degree or higher,"216,766"
107,California,40-64,Total population 25 years and over with a Bachelor's degree or higher,"4,132,860"
108,Colorado,40-64,Total population 25 years and over with a Bachelor's degree or higher,"747,154"
109,Connecticut,40-64,Total population 25 years and over with a Bachelor's degree or higher,"492,359"
110,Delaware,40-64,Total population 25 years and over with a Bachelor's degree or higher,"103,520"
111,Florida,40-64,Total population 25 years and over with a Bachelor's degree or higher,"2,087,752"
112,Georgia,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,115,115"
113,Hawaii,40-64,Total population 25 years and over with a Bachelor's degree or higher,"149,001"
114,Idaho,40-64,Total population 25 years and over with a Bachelor's degree or higher,"149,441"
115,Illinois,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,429,871"
116,Indiana,40-64,Total population 25 years and over with a Bachelor's degree or higher,"569,668"
117,Iowa,40-64,Total population 25 years and over with a Bachelor's degree or higher,"276,370"
118,Kansas,40-64,Total population 25 years and over with a Bachelor's degree or higher,"300,492"
119,Kentucky,40-64,Total population 25 years and over with a Bachelor's degree or higher,"356,871"
120,Louisiana,40-64,Total population 25 years and over with a Bachelor's degree or higher,"347,796"
121,Maine,40-64,Total population 25 years and over with a Bachelor's degree or higher,"145,245"
122,Maryland,40-64,Total population 25 years and over with a Bachelor's degree or higher,"828,088"
123,Massachusetts,40-64,Total population 25 years and over with a Bachelor's degree or higher,"985,729"
124,Michigan,40-64,Total population 25 years and over with a Bachelor's degree or higher,"974,565"
125,Minnesota,40-64,Total population 25 years and over with a Bachelor's degree or higher,"652,524"
126,Mississippi,40-64,Total population 25 years and over with a Bachelor's degree or higher,"213,709"
127,Missouri,40-64,Total population 25 years and over with a Bachelor's degree or higher,"578,900"
128,Montana,40-64,Total population 25 years and over with a Bachelor's degree or higher,"108,095"
129,Nebraska,40-64,Total population 25 years and over with a Bachelor's degree or higher,"183,096"
130,Nevada,40-64,Total population 25 years and over with a Bachelor's degree or higher,"238,816"
131,New Hampshire,40-64,Total population 25 years and over with a Bachelor's degree or higher,"178,123"
132,New Jersey,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,239,274"
133,New Mexico,40-64,Total population 25 years and over with a Bachelor's degree or higher,"175,840"
134,New York,40-64,Total population 25 years and over with a Bachelor's degree or higher,"2,255,324"
135,North Carolina,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,093,640"
136,North Dakota,40-64,Total population 25 years and over with a Bachelor's degree or higher,"65,687"
137,Ohio,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,082,565"
138,Oklahoma,40-64,Total population 25 years and over with a Bachelor's degree or higher,"310,988"
139,Oregon,40-64,Total population 25 years and over with a Bachelor's degree or higher,"447,815"
140,Pennsylvania,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,329,936"
141,Rhode Island,40-64,Total population 25 years and over with a Bachelor's degree or higher,"117,449"
142,South Carolina,40-64,Total population 25 years and over with a Bachelor's degree or higher,"464,005"
143,South Dakota,40-64,Total population 25 years and over with a Bachelor's degree or higher,"75,124"
144,Tennessee,40-64,Total population 25 years and over with a Bachelor's degree or higher,"608,821"
145,Texas,40-64,Total population 25 years and over with a Bachelor's degree or higher,"2,641,927"
146,Utah,40-64,Total population 25 years and over with a Bachelor's degree or higher,"281,843"
147,Vermont,40-64,Total population 25 years and over with a Bachelor's degree or higher,"81,314"
148,Virginia,40-64,Total population 25 years and over with a Bachelor's degree or higher,"1,106,427"
149,Washington,40-64,Total population 25 years and over with a Bachelor's degree or higher,"845,923"
150,West Virginia,40-64,Total population 25 years and over with a Bachelor's degree or higher,"126,337"
151,Wisconsin,40-64,Total population 25 years and over with a Bachelor's degree or higher,"574,355"
152,Wyoming,40-64,Total population 25 years and over with a Bachelor's degree or higher,"50,340"
153,United States,65+,Total population 25 years and over with a Bachelor's degree or higher,"14,837,205"
154,Alabama,65+,Total population 25 years and over with a Bachelor's degree or higher,"191,371"
155,Alaska,65+,Total population 25 years and over with a Bachelor's degree or higher,"27,857"
156,Arizona,65+,Total population 25 years and over with a Bachelor's degree or higher,"382,181"
157,Arkansas,65+,Total population 25 years and over with a Bachelor's degree or higher,"106,042"
158,California,65+,Total population 25 years and over with a Bachelor's degree or higher,"1,809,107"
159,Colorado,65+,Total population 25 years and over with a Bachelor's degree or higher,"314,837"
160,Connecticut,65+,Total population 25 years and over with a Bachelor's degree or higher,"208,480"
161,Delaware,65+,Total population 25 years and over with a Bachelor's degree or higher,"55,237"
162,Florida,65+,Total population 25 years and over with a Bachelor's degree or higher,"1,263,793"
163,Georgia,65+,Total population 25 years and over with a Bachelor's degree or higher,"390,777"
164,Hawaii,65+,Total population 25 years and over with a Bachelor's degree or higher,"83,011"
165,Idaho,65+,Total population 25 years and over with a Bachelor's degree or higher,"77,057"
166,Illinois,65+,Total population 25 years and over with a Bachelor's degree or higher,"545,913"
167,Indiana,65+,Total population 25 years and over with a Bachelor's degree or higher,"229,082"
168,Iowa,65+,Total population 25 years and over with a Bachelor's degree or higher,"123,894"
169,Kansas,65+,Total population 25 years and over with a Bachelor's degree or higher,"136,106"
170,Kentucky,65+,Total population 25 years and over with a Bachelor's degree or higher,"148,596"
171,Louisiana,65+,Total population 25 years and over with a Bachelor's degree or higher,"164,765"
172,Maine,65+,Total population 25 years and over with a Bachelor's degree or higher,"85,961"
173,Maryland,65+,Total population 25 years and over with a Bachelor's degree or higher,"331,385"
174,Massachusetts,65+,Total population 25 years and over with a Bachelor's degree or higher,"404,032"
175,Michigan,65+,Total population 25 years and over with a Bachelor's degree or higher,"432,657"
176,Minnesota,65+,Total population 25 years and over with a Bachelor's degree or higher,"259,858"
177,Mississippi,65+,Total population 25 years and over with a Bachelor's degree or higher,"100,657"
178,Missouri,65+,Total population 25 years and over with a Bachelor's degree or higher,"247,162"
179,Montana,65+,Total population 25 years and over with a Bachelor's degree or higher,"62,197"
180,Nebraska,65+,Total population 25 years and over with a Bachelor's degree or higher,"77,219"
181,Nevada,65+,Total population 25 years and over with a Bachelor's degree or higher,"128,015"
182,New Hampshire,65+,Total population 25 years and over with a Bachelor's degree or higher,"83,338"
183,New Jersey,65+,Total population 25 years and over with a Bachelor's degree or higher,"453,531"
184,New Mexico,65+,Total population 25 years and over with a Bachelor's degree or higher,"114,439"
185,New York,65+,Total population 25 years and over with a Bachelor's degree or higher,"953,526"
186,North Carolina,65+,Total population 25 years and over with a Bachelor's degree or higher,"454,252"
187,North Dakota,65+,Total population 25 years and over with a Bachelor's degree or higher,"27,052"
188,Ohio,65+,Total population 25 years and over with a Bachelor's degree or higher,"457,152"
189,Oklahoma,65+,Total population 25 years and over with a Bachelor's degree or higher,"155,593"
190,Oregon,65+,Total population 25 years and over with a Bachelor's degree or higher,"235,370"
191,Pennsylvania,65+,Total population 25 years and over with a Bachelor's degree or higher,"575,699"
192,Rhode Island,65+,Total population 25 years and over with a Bachelor's degree or higher,"55,628"
193,South Carolina,65+,Total population 25 years and over with a Bachelor's degree or higher,"245,546"
194,South Dakota,65+,Total population 25 years and over with a Bachelor's degree or higher,"37,180"
195,Tennessee,65+,Total population 25 years and over with a Bachelor's degree or higher,"252,969"
196,Texas,65+,Total population 25 years and over with a Bachelor's degree or higher,"981,892"
197,Utah,65+,Total population 25 years and over with a Bachelor's degree or higher,"116,578"
198,Vermont,65+,Total population 25 years and over with a Bachelor's degree or higher,"45,210"
199,Virginia,65+,Total population 25 years and over with a Bachelor's degree or higher,"434,843"
200,Washington,65+,Total population 25 years and over with a Bachelor's degree or higher,"393,112"
201,West Virginia,65+,Total population 25 years and over with a Bachelor's degree or higher,"63,459"
202,Wisconsin,65+,Total population 25 years and over with a Bachelor's degree or higher,"246,224"
203,Wyoming,65+,Total population 25 years and over with a Bachelor's degree or higher,"27,072"
204,United States,All,Science and Engineering,"25,843,213"
205,Alabama,All,Science and Engineering,"256,273"
206,Alaska,All,Science and Engineering,"55,404"
207,Arizona,All,Science and Engineering,"493,588"
208,Arkansas,All,Science and Engineering,"140,798"
209,California,All,Science and Engineering,"3,859,929"
210,Colorado,All,Science and Engineering,"630,653"
211,Connecticut,All,Science and Engineering,"360,666"
212,Delaware,All,Science and Engineering,"76,206"
213,Florida,All,Science and Engineering,"1,484,878"
214,Georgia,All,Science and Engineering,"732,133"
215,Hawaii,All,Science and Engineering,"123,502"
216,Idaho,All,Science and Engineering,"110,707"
217,Illinois,All,Science and Engineering,"1,021,119"
218,Indiana,All,Science and Engineering,"354,684"
