,year,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEDIAN,A_MEAN
0,2015,00-0000,All Occupations,total,137896660,36200,48320
1,2015,11-0000,Management Occupations,major,6936990,98560,115020
2,2015,11-1000,Top Executives,minor,2439900,100940,124210
3,2015,11-1010,Chief Executives,broad,238940,175110,185850
4,2015,11-1011,Chief Executives,detailed,238940,175110,185850
5,2015,11-1020,General and Operations Managers,broad,2145140,97730,119460
6,2015,11-1021,General and Operations Managers,detailed,2145140,97730,119460
7,2015,11-1030,Legislators,broad,55820,20500,42530
8,2015,11-1031,Legislators,detailed,55820,20500,42530
9,2015,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,647360,116810,131670
10,2015,11-2010,Advertising and Promotions Managers,broad,29340,95890,113610
11,2015,11-2011,Advertising and Promotions Managers,detailed,29340,95890,113610
12,2015,11-2020,Marketing and Sales Managers,broad,557640,119280,133950
13,2015,11-2021,Marketing Managers,detailed,192890,128750,140660
14,2015,11-2022,Sales Managers,detailed,364750,113860,130400
15,2015,11-2030,Public Relations and Fundraising Managers,broad,60380,104140,119390
16,2015,11-2031,Public Relations and Fundraising Managers,detailed,60380,104140,119390
17,2015,11-3000,Operations Specialties Managers,minor,1663790,108260,120900
18,2015,11-3010,Administrative Services Managers,broad,270080,86110,94840
19,2015,11-3011,Administrative Services Managers,detailed,270080,86110,94840
20,2015,11-3020,Computer and Information Systems Managers,broad,341250,131600,141000
21,2015,11-3021,Computer and Information Systems Managers,detailed,341250,131600,141000
22,2015,11-3030,Financial Managers,broad,531120,117990,134330
23,2015,11-3031,Financial Managers,detailed,531120,117990,134330
24,2015,11-3050,Industrial Production Managers,broad,169390,93940,103720
25,2015,11-3051,Industrial Production Managers,detailed,169390,93940,103720
26,2015,11-3060,Purchasing Managers,broad,72600,108120,114130
27,2015,11-3061,Purchasing Managers,detailed,72600,108120,114130
28,2015,11-3070,"Transportation, Storage, and Distribution Managers",broad,109210,86630,95130
29,2015,11-3071,"Transportation, Storage, and Distribution Managers",detailed,109210,86630,95130
30,2015,11-3110,Compensation and Benefits Managers,broad,15930,111430,121630
31,2015,11-3111,Compensation and Benefits Managers,detailed,15930,111430,121630
32,2015,11-3120,Human Resources Managers,broad,122780,104440,117080
33,2015,11-3121,Human Resources Managers,detailed,122780,104440,117080
34,2015,11-3130,Training and Development Managers,broad,31430,102640,111680
35,2015,11-3131,Training and Development Managers,detailed,31430,102640,111680
36,2015,11-9000,Other Management Occupations,minor,2185950,85880,95360
37,2015,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,4370,64170,69880
38,2015,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,4370,64170,69880
39,2015,11-9020,Construction Managers,broad,239640,87400,97510
40,2015,11-9021,Construction Managers,detailed,239640,87400,97510
41,2015,11-9030,Education Administrators,broad,449430,85290,90970
42,2015,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,46760,45670,52760
43,2015,11-9032,"Education Administrators, Elementary and Secondary School",detailed,235110,90410,92940
44,2015,11-9033,"Education Administrators, Postsecondary",detailed,135690,88580,102610
45,2015,11-9039,"Education Administrators, All Other",detailed,31880,76930,82970
46,2015,11-9040,Architectural and Engineering Managers,broad,179770,132800,141650
47,2015,11-9041,Architectural and Engineering Managers,detailed,179770,132800,141650
48,2015,11-9050,Food Service Managers,broad,201370,48690,53640
49,2015,11-9051,Food Service Managers,detailed,201370,48690,53640
50,2015,11-9060,Funeral Service Managers,broad,8300,70890,84470
51,2015,11-9061,Funeral Service Managers,detailed,8300,70890,84470
52,2015,11-9070,Gaming Managers,broad,3950,68380,77770
53,2015,11-9071,Gaming Managers,detailed,3950,68380,77770
54,2015,11-9080,Lodging Managers,broad,35480,49720,57810
55,2015,11-9081,Lodging Managers,detailed,35480,49720,57810
56,2015,11-9110,Medical and Health Services Managers,broad,314950,94500,106070
57,2015,11-9111,Medical and Health Services Managers,detailed,314950,94500,106070
58,2015,11-9120,Natural Sciences Managers,broad,53450,120160,136570
59,2015,11-9121,Natural Sciences Managers,detailed,53450,120160,136570
60,2015,11-9130,Postmasters and Mail Superintendents,broad,14770,70640,70540
61,2015,11-9131,Postmasters and Mail Superintendents,detailed,14770,70640,70540
