industry,segment,year,month,date,employees,hours,earnings
mining and logging,total,2006,M03,3/1/06,669,42.7,22.8
mining and logging,total,2006,M04,4/1/06,679,42.9,23.4
mining and logging,total,2006,M05,5/1/06,681,42.6,23.45
mining and logging,total,2006,M06,6/1/06,686,42.7,23.61
mining and logging,total,2006,M07,7/1/06,690,43.1,23.71
mining and logging,total,2006,M08,8/1/06,693,42.3,23.49
mining and logging,total,2006,M09,9/1/06,694,42.4,23.9
mining and logging,total,2006,M10,10/1/06,699,42.3,24.27
mining and logging,total,2006,M11,11/1/06,701,42,24.95
mining and logging,total,2006,M12,12/1/06,705,42.7,24.53
mining and logging,total,2007,M01,1/1/07,706,42.5,24.61
mining and logging,total,2007,M02,2/1/07,711,43,24.93
mining and logging,total,2007,M03,3/1/07,715,43.3,24.87
mining and logging,total,2007,M04,4/1/07,719,44.8,24.93
mining and logging,total,2007,M05,5/1/07,721,44.2,24.92
mining and logging,total,2007,M06,6/1/07,725,44,25.03
mining and logging,total,2007,M07,7/1/07,728,44.2,24.83
mining and logging,total,2007,M08,8/1/07,727,44.1,24.7
mining and logging,total,2007,M09,9/1/07,726,44.5,24.93
mining and logging,total,2007,M10,10/1/07,727,44.2,24.74
mining and logging,total,2007,M11,11/1/07,735,44,24.94
mining and logging,total,2007,M12,12/1/07,740,44.2,25.1
mining and logging,total,2008,M01,1/1/08,746,43.6,25.4
mining and logging,total,2008,M02,2/1/08,748,43.8,24.91
mining and logging,total,2008,M03,3/1/08,755,44.8,26.42
mining and logging,total,2008,M04,4/1/08,755,43.3,25.02
mining and logging,total,2008,M05,5/1/08,761,43.6,25.38
mining and logging,total,2008,M06,6/1/08,766,43.9,25.81
mining and logging,total,2008,M07,7/1/08,770,43.4,26.38
mining and logging,total,2008,M08,8/1/08,778,43.7,26.76
mining and logging,total,2008,M09,9/1/08,782,42.9,26.63
mining and logging,total,2008,M10,10/1/08,781,44.1,26.58
mining and logging,total,2008,M11,11/1/08,776,44,27.53
mining and logging,total,2008,M12,12/1/08,771,43.2,27.31
mining and logging,total,2009,M01,1/1/09,761,43.1,27.43
mining and logging,total,2009,M02,2/1/09,749,42.8,27.45
mining and logging,total,2009,M03,3/1/09,728,42.5,27.64
mining and logging,total,2009,M04,4/1/09,710,41.8,27.57
mining and logging,total,2009,M05,5/1/09,693,41.5,27.52
mining and logging,total,2009,M06,6/1/09,686,41.8,27.39
mining and logging,total,2009,M07,7/1/09,678,41.9,27.24
mining and logging,total,2009,M08,8/1/09,670,42.2,27.38
mining and logging,total,2009,M09,9/1/09,665,42.2,27.15
mining and logging,total,2009,M10,10/1/09,661,41.8,27.29
mining and logging,total,2009,M11,11/1/09,664,42.5,27.02
mining and logging,total,2009,M12,12/1/09,663,42.3,26.98
mining and logging,total,2010,M01,1/1/10,667,43,27.06
mining and logging,total,2010,M02,2/1/10,674,42.9,27.1
mining and logging,total,2010,M03,3/1/10,682,43.3,27.08
mining and logging,total,2010,M04,4/1/10,687,43.7,27.23
mining and logging,total,2010,M05,5/1/10,697,43.9,27.38
mining and logging,total,2010,M06,6/1/10,702,43.2,27.36
mining and logging,total,2010,M07,7/1/10,708,43.7,27.57
mining and logging,total,2010,M08,8/1/10,716,44,27.57
mining and logging,total,2010,M09,9/1/10,723,43.4,27.76
mining and logging,total,2010,M10,10/1/10,731,43.7,27.59
mining and logging,total,2010,M11,11/1/10,736,42.8,27.72
mining and logging,total,2010,M12,12/1/10,734,44.1,27.63
mining and logging,total,2011,M01,1/1/11,736,44.3,27.91
mining and logging,total,2011,M02,2/1/11,739,44,28.01
mining and logging,total,2011,M03,3/1/11,754,44.4,28.08
mining and logging,total,2011,M04,4/1/11,768,44.6,28.33
mining and logging,total,2011,M05,5/1/11,778,44.8,28.17
mining and logging,total,2011,M06,6/1/11,790,44.6,27.85
mining and logging,total,2011,M07,7/1/11,801,44.3,27.89
mining and logging,total,2011,M08,8/1/11,804,44.1,28
mining and logging,total,2011,M09,9/1/11,814,44.6,28.05
mining and logging,total,2011,M10,10/1/11,820,45.5,28.16
mining and logging,total,2011,M11,11/1/11,824,43.8,28.26
mining and logging,total,2011,M12,12/1/11,831,44.6,28.44
mining and logging,total,2012,M01,1/1/12,840,44.7,28.05
mining and logging,total,2012,M02,2/1/12,845,44.6,28.63
mining and logging,total,2012,M03,3/1/12,849,44.1,28.69
mining and logging,total,2012,M04,4/1/12,850,43.7,28.86
mining and logging,total,2012,M05,5/1/12,855,44,28.46
mining and logging,total,2012,M06,6/1/12,854,44.4,28.78
mining and logging,total,2012,M07,7/1/12,851,43.8,29.02
mining and logging,total,2012,M08,8/1/12,851,43.4,28.73
mining and logging,total,2012,M09,9/1/12,846,43.2,28.93
mining and logging,total,2012,M10,10/1/12,837,43.4,28.57
mining and logging,total,2012,M11,11/1/12,843,43.2,28.88
mining and logging,total,2012,M12,12/1/12,848,43.2,29.2
